Ticker,outstandingShares,trainingVolume,averageTrainingVolume,relativeTrainingVolume,trainingTurnoverRatio
STNE,278025984,6657500,7146360.0,0.9315931467208481,0.02394560358790062
GAP,377121984,5359400,8680170.0,0.6174303037843729,0.014211316834820216
CRM,957000000,7423400,7797695.0,0.9519992767093353,0.007756948798328109
CDE,399240992,9876300,9053580.0,1.0908723400025184,0.024737690262026
RCAT,80160800,8751300,11656780.0,0.7507476335660448,0.10917181465254838
VRT,375336000,6615500,6821585.0,0.9697892791777863,0.017625540848732867
CVE,1826620032,7857700,8001580.0,0.9820185513361112,0.00430177040782612
BEKE,1156130048,5482200,7825605.0,0.7005464753204385,0.004741854092871047
LI,883104000,5048900,5517945.0,0.9149964343609804,0.005717220168858934
META,2180000000,14958100,11534810.0,1.2967790540112927,0.00686151376146789
VSH,123741000,2713000,2745760.0,0.9880688771050639,0.021924826856094586
BMY,2028179968,11487900,9774300.0,1.1753169024891807,0.005664142325263317
FCX,1436930048,15766500,11487485.0,1.3724936311124671,0.010972350409085467
NEM,1138450048,13794000,10146325.0,1.359507013623159,0.012116473642592353
SNOW,330071008,5792300,9957630.0,0.5816946401904871,0.017548648198753646
ASTS,200344992,5767300,7641825.0,0.7547019200256483,0.02878684384583968
HST,699028992,7594900,7129335.0,1.0653027245879174,0.010864928474955156
BP,2638860032,10605700,10534830.0,1.0067272086972452,0.004019046054504796
OXY,938342976,18592100,11190700.0,1.6613884743581724,0.019813757309992377
IBN,3529009920,3602200,5034020.0,0.715571253193273,0.0010207395506556128
AFRM,271918016,8404300,8371665.0,1.003898268743434,0.03090747764208459
TGT,458212000,5262100,8215155.0,0.6405356928749366,0.01148398557872775
KHC,1209170048,13772400,11609105.0,1.1863446837633047,0.011389961257128328
ARWR,124434000,1829300,2093870.0,0.8736454507681948,0.014700965973929956
SQ,559742016,8398200,8989175.0,0.9342570369360926,0.015003697703479169
ASX,2172039936,9322800,7360470.0,1.2666038989358017,0.00429218627405569
AMGN,537532992,4725800,4654060.0,1.0154144983090034,0.008791646411165773
TFC,1327520000,7541800,7926055.0,0.9515200184707272,0.005681119681812704
FLNC,129621000,4568700,4460895.0,1.0241666750730516,0.035246603559608396
