Ticker,outstandingShares,volume,averageVolume,relativeVolume,turnoverRatio,VWAP,recentClose,momentum (%),latestCrossover,crossoverDate,daysSinceCrossover,RSI,latestUpper,latestMiddle,latestLower
ASPI,71390096,3496700,5738885.0,0.609299541635701,0.048980183469707,5.609642072342643,4.889999866485596,-12.828665297650932,Bearish,2024-11-15,37,46.157927218249036,7.303208134183184,5.202249979972839,3.1012918257624937
AAL,657131008,28634300,26860995.0,1.066017844834117,0.0435747204916557,12.016942801743221,16.8799991607666,40.46833241411391,Bearish,2024-12-18,4,64.17886606967531,18.506327129472997,16.0729998588562,13.639672588239405
SNAP,1423059968,38537200,29660335.0,1.299284043824859,0.0270805172421236,11.370419438012485,11.399999618530273,0.2601503020979054,Bearish,2024-12-12,10,47.18533491250731,12.849014695079509,11.814000034332276,10.778985373585042
WBA,863488000,29978900,27153795.0,1.1040408900487022,0.034718374777646,10.103972234325468,9.550000190734863,-5.482715418680953,Bullish,2024-11-27,25,52.23567724433049,10.516377027865337,9.31050009727478,8.104623166684222
COIN,204910000,9972100,12151050.0,0.8206780483991095,0.0486657556976233,240.64472644768082,278.7099914550781,15.818034149056311,Bearish,2024-11-26,26,45.513293205481304,339.33519421411734,306.6970016479492,274.0588090817811
KGC,1229049984,25657800,16617210.0,1.5440498134163316,0.0208761241072519,9.348477745618899,9.25,-1.053409424492131,Bearish,2024-12-17,5,41.50142496031068,10.494551910477998,9.780999994277954,9.06744807807791
LX,128742000,10493600,5756485.0,1.822917978592839,0.0815087539419925,3.6943492223378818,5.909999847412109,59.97404391759438,Bearish,2024-12-19,3,70.2226307612412,6.925414392121699,5.357000005245209,3.788585618368719
GME,446800000,19519000,14450610.0,1.3507388269422536,0.0436862130707251,24.81258238838079,29.81999969482422,20.180959918095013,Bearish,2024-12-03,19,57.0566425122932,31.174713523046073,28.795499897003175,26.416286270960278
RIG,875804032,30875600,21305945.0,1.4491542149386003,0.0352540053161116,4.601335459462057,3.5299999713897705,-23.283142416170115,Bearish,2024-12-04,18,28.284775849643438,4.654647590449613,4.052000033855438,3.449352477261263
CSCO,3982759936,69514800,22067995.0,3.1500279023989264,0.0174539267033542,52.32757731535188,58.52000045776367,11.833957274752438,Bearish,2024-12-09,13,52.86201755214499,60.21152970506645,58.90499992370606,57.59847014234567
BZ,364894016,5729500,5716645.0,1.002248696569404,0.0157018195661504,14.799510305170832,13.619999885559082,-7.969928702300634,Bearish,2024-12-20,2,46.2129718353747,15.257940491743428,13.74850001335144,12.239059534959454
HUT,93678704,7331100,8427525.0,0.8698995256614487,0.0782579144135042,18.207005688809875,23.68000030517578,30.059828122806802,Bearish,2024-12-09,13,46.105022561863805,30.292132089180427,26.72150011062622,23.150868132072013
AGNC,885640000,34093400,16043890.0,2.1250083365069194,0.0384957770651732,9.95078453176905,9.449999809265137,-5.032615477755545,Bearish,2024-12-18,4,43.9576247393698,9.841978093184098,9.583500003814697,9.325021914445296
BE,228576000,6373300,7742615.0,0.823145668485389,0.027882629847403,15.822649148345416,24.1200008392334,52.43971229530575,Bearish,2024-12-06,16,55.296553457030164,28.21746962054208,25.517499923706055,22.81753022687003
BTG,1311399936,25182200,15270020.0,1.6491268511763573,0.019202532582707,2.958179484965735,2.4800000190734863,-16.16465357570376,Bearish,2024-12-16,6,33.58930631143458,2.987304219649282,2.706499993801117,2.425695767952952
GM,1099600000,23917000,13004675.0,1.8391078592890635,0.0217506365951255,48.91450179760461,51.810001373291016,5.919511533956181,Bearish,2024-11-26,26,44.55418419025967,58.4763782410577,53.566000366210936,48.65562249136417
RXRX,383724000,19814600,16510765.0,1.2001018729295705,0.0516376353837654,7.02987817677804,6.03000020980835,-14.223261652991523,Bearish,2024-12-18,4,41.91854970411592,8.31422121637009,6.878250074386597,5.442278932403103
PARA,626273024,18990400,11603885.0,1.6365553433182076,0.0303228771993219,10.860019968907421,10.65999984741211,-1.8418025203266273,Bearish,2024-12-17,5,44.7565488120044,11.448538159681336,10.955000066757203,10.46146197383307
SMR,101097000,9655700,9798220.0,0.9854545009195548,0.0955092633807135,17.37236879583592,19.770000457763672,13.801408950646108,Bearish,2024-12-02,20,40.62801524399685,30.73566975385889,24.094999885559083,17.454330017259277
CRWD,246311008,5211400,4339165.0,1.2010144808966705,0.0211578038769586,299.89379538434764,362.2900085449219,20.806103400907798,Bearish,2024-12-18,4,54.00173232301733,382.657241316225,360.45924987792966,338.26125843963433
WDC,345708000,12732400,6379840.0,1.9957240306966944,0.0368299258333622,66.69085912710403,60.2400016784668,-9.672776049177518,Bearish,2024-12-11,11,32.23681962128514,76.70280647530114,68.39599990844727,60.08919334159339
HL,637014976,19876400,10898890.0,1.8237086528995157,0.0312024061424891,5.976462716777087,5.039999961853027,-15.669180906880381,Bearish,2024-12-18,4,36.18647393101204,5.963006963976419,5.465999984741211,4.968993005506004
BTE,787328000,15169100,11337200.0,1.3379935080972374,0.019266557267111,3.146003178849365,2.2899999618530273,-27.20922924526149,Bearish,2024-11-26,26,27.473138285774855,3.06832706984403,2.6114999651908875,2.1546728605377448
LUMN,1014809984,43512600,14263195.0,3.0506909566895777,0.042877583671861,5.311772857503424,5.920000076293945,11.450550223195966,Bearish,2024-11-19,33,37.07948086484234,7.926560060797386,6.6949999809265135,5.463439901055641
PTON,363318016,13950200,13470550.0,1.035607306308948,0.0383966645903956,5.86870387825987,9.380000114440918,59.83086400369177,Bearish,2024-12-05,17,52.13548678504435,10.410523151109912,9.72699990272522,9.043476654340528
MAC,252227008,7833000,3549800.0,2.206603188912051,0.0310553578782491,18.010271610777565,20.260000228881836,12.491364187744987,Bearish,2024-12-12,10,47.042977971288295,22.37355607580453,21.05000009536743,19.72644411493033
C,1891260032,27718800,14239810.0,1.9465709163254288,0.0146562606574451,64.27588358962852,69.19000244140625,7.645354022905515,Bearish,2024-12-11,11,47.26194957601464,73.27797236370051,70.85800056457519,68.43802876544987
WOLF,127713000,12449200,12737930.0,0.9773330517595872,0.0974779388159388,11.553144152563629,7.039999961853027,-39.06420738037048,Bearish,2024-12-16,6,37.59368763543787,11.092738593156255,8.842999935150146,6.593261277144038
JBLU,346876992,23111800,18480370.0,1.2506134887991962,0.0666282299864961,6.106436274243568,7.440000057220459,21.838658803363764,Bullish,2024-12-04,18,61.48843319100137,7.741081666107389,6.668000030517578,5.594918394927767
