Ticker,outstandingShares,trainingVolume,averageTrainingVolume,relativeTrainingVolume,trainingTurnoverRatio,trainingVWAP,trainingClose,percentageChange,trainingMomentum (%),trainingCrossover,trainingCrossoverDate,daysSinceTrainingCrossover,trainingRSI,trainingUpper,trainingMiddle,trainingLower
KGC,1229049984,17242900,16036660.0,1.0752176575421566,0.0140294538256956,9.349705433117414,9.069999694824219,101.98456792979273,-2.991599471171091,Bullish,2024-12-04,13,37.91560101351944,10.503495828302356,9.822499990463257,9.141504152624158
LX,128742000,3247100,5311110.0,0.6113787889913784,0.0252217613521616,3.630290289056055,5.829999923706055,101.37221140228077,60.59321595524434,Bullish,2024-11-26,23,69.13803710343073,7.008883463314122,5.226500010490417,3.444116557666712
IFBD,1986970,29100,1034625.0,0.0281261326567596,0.0146454148779297,2.5522048654271465,2.309999942779541,97.0129866912888,-9.490026679620374,Bullish,2024-11-27,15,50.88373734293994,3.1495113785217006,2.3717500150203703,1.59398865151904
UBER,2105709952,27811400,30544070.0,0.9105335340051276,0.0132076119854896,70.08188286421624,60.209999084472656,100.86364468638196,-14.086213692161175,Bullish,2024-11-25,10,29.47748170171922,76.67603008772316,66.67349967956542,56.670969271407685
NOK,5388100096,18121200,14633565.0,1.2383311927066305,0.003363189190463,4.264301570483343,4.429999828338623,100.0,3.8857068412377513,Bearish,2024-11-04,32,53.23173883631175,4.547437666787171,4.306499934196472,4.065562201605773
GME,446800000,10338200,14004020.0,0.7382308794189097,0.0231383169203222,24.745570644224124,29.0,102.82758515456626,17.19269042910071,Bullish,2024-10-28,36,54.47342698116885,31.06215526694865,28.695499897003174,26.328844527057697
RIG,875804032,29562100,20716290.0,1.4269977877312974,0.0337542405833546,4.614358611353416,3.549999952316284,99.43662024802383,-23.06623192264092,Bullish,2024-11-29,5,28.761291160830087,4.657048601649373,4.092500042915344,3.527951484181316
CSCO,3982759936,21947800,19400375.0,1.1313080288396486,0.0055107012103879,52.14828950921596,57.630001068115234,101.54433346026926,10.511776341063914,Bullish,2024-11-27,12,43.92332216156324,60.28176780654577,58.85699996948242,57.432232132419074
BZ,364894016,3290400,5657935.0,0.5815549312602566,0.0090174128807856,14.810922318660513,13.729999542236328,99.19883714242769,-7.298146281290754,Bullish,2024-12-02,18,47.17864307977078,15.265109037121732,13.713500022888184,12.161891008654635
GOOG,5534000128,26981200,22616090.0,1.1930090479830953,0.0048755329555351,172.56891165573498,189.6999969482422,101.71850807489177,9.927098182483027,Bearish,2024-11-18,21,58.955251605936866,201.92112891552813,180.52700119018556,159.132873464843
